序号,MD5,名称,介绍,模型UID,模型参数及说明,是否有示例数据（资源）,display_name_en
1,6d5b39c521ff401cf5be921180e1c151,1978Texas冬小麦产量区域尺度的估计,,16488859-aaab-4b71-80b2-57bd214dffd5,"输入: a-回归系数(REAL), b-回归系数(REAL), c-回归系数(REAL), y-农业气象学模型的估计结果(REAL), I_green-MSS数据得到的绿度指数值(REAL) | 输出: double-小麦产量(REAL)",,1978 Texas Winter Wheat Yield Estimation
2,e220f59ab7591fcef0fd49a82f046b92,24小时蒸散量的计算模型,,d5c7de4c-fc27-4cd4-9ae8-d095ea162180,"输入: LEp-24小时可能蒸散量(REAL), B-经验常数(REAL), Tc-农作物温度(REAL), Tc1-参考农作物温度(REAL) | 输出: LE-24小时蒸散量(REAL)",,24-Hour Evapotranspiration Model
3,a82a8554a3d43ae834c46fc52ab73ac1,AL蜂的密度,,d29d4804-3c56-454f-b400-4a7c76cdd1c1,"输入: Hn-参量(REAL), s-只适用于AM蜂和AL蜂攻击(REAL) | 输出: P1-AL蜂的密度(REAL)",,AL Bee Density
4,4abdfc3eb1fd8d5c098215aaf2ff6eb5,AM蜂的密度,,5d3bc40a-e29d-46e2-8a56-e88dab06bc40,"输入: Hn-参量(REAL), s-只适用于AM蜂和AL蜂攻击(REAL), t-只适用于AM蜂和EC蜂攻击(REAL) | 输出: Q1-AM蜂的密度(REAL)",,AM Bee Density
5,41f5f6cb07b431e6212ebc7eca2684d0,AVHRR波段1和2的传感器校正,,93777da0-a7d9-482a-8680-06e31f55bc1c,"输入: G-增益(REAL), O-偏移(REAL), Q-数字信号电平(REAL) | 输出: double-表观辐射(REAL)",,AVHRR Bands 1-2 Sensor Calibration
6,e2dde396e345762e2281728c6cf852b1,BES算法,,6ee7a250-85e5-4ca0-8a6d-ba6b0d566fcf,"输入: T4-通道4的卫星亮度(REAL), T5-通道5的卫星亮度(REAL), t04-通道4的大气透过率(REAL), t05-通道5的大气透过率(REAL), epslon4-通道4的比辐射率(REAL), epslon-通道5的比辐射率(REAL) | 输出: double-陆面温度(REAL)",,BES Land Surface Temperature Algorithm
7,ac03b692fa0c9f03c37e57142710858e,BRDF模型,,85faf075-db85-4fb0-9e30-12c71949f475,"输入: f0-各向同性散射的贡献(REAL), f1-响应数值(REAL), f2-响应数值(REAL), kgeo-地表散射核(REAL), kvol-体散射核(REAL) | 输出: double-地物的BRDF(REAL)",,BRDF Model
8,19fc6feb48e4c1b1d14414a34502f711,Bhattacharya距离计算,,9876b5ea-9d3f-4b82-9dd1-f4183587fe07,输入: a-参数(REAL) | 输出: double-距离(REAL),,Bhattacharyya Distance
9,8dde4d98535d37b5ace1187ae6c3bae4,CLAIR估计的Ila的标准偏差,,f7e68b2c-9d48-4ff2-ae76-740300dfa0c7,"输入: a-描述Iwdv趋向于其渐近值的速率的参数(REAL), Ila-叶片面积指数(REAL), Iwdvw-Iwdv的渐近极限值(REAL), DIwdv-Iwdv的标准偏差(REAL) | 输出: double-标准偏差(REAL)",,CLAIR LAI Standard Deviation
10,7557b27124b42a14d2ec447506c89c5e,Chikugo模型,,04be49ca-7340-4097-aa8b-2259a0235044,"输入: Rn-年净辐射(REAL), Int-辐射干燥度(REAL) | 输出: double-最大净第一性生产力(REAL)",,Chikugo Model
11,9026940c88592812f53d4917811735b5,Cloud估计的Ila的标准偏差,,8830c169-cfee-4933-b925-0f7cc52ce65e,"输入: th-雷达波的入射角(REAL), K-参数(REAL), D_-D/A(REAL), Ila-叶片面积指数(REAL), Dr-雷达截面的标准偏差(REAL) | 输出: double-标准偏差(REAL)",,Cloud LAI Standard Deviation
12,60f3cf17433aae668b33e5fbde89700f,EC蜂的密度,,254552dd-0e0c-4196-bc51-ca3ce7d9948e,"输入: Hn-参量(REAL), u-只适合EC蜂攻击(REAL), t-只适用于AM蜂和EC蜂攻击(REAL) | 输出: R1-EC蜂的密度(REAL)",,EC Bee Density
13,fb54f7ba571a5bb4beba241fa2deeb53,EF时间外推,,2284303c-410f-417b-a47c-88d982db7e02,"输入: LE-未知参数(REAL), Rn-净辐射(REAL), G-土壤热通量(REAL) | 输出: double-EF时间外推(REAL)",,Evaporative Fraction Temporal Extrapolation
14,398654f3d74c1c04784482bc13315df0,GIS中缓和曲线的不确定性模型--XOY中的坐标,,76dbd8c1-b58e-481a-9a04-30f45afb5798,"输入: alpha-直援点B处切线的方位角(REAL), startPoint-缓和曲线起点(VECTOR2), point-缓和曲线任意点(VECTOR2), c-缓和曲线偏转函数(INT) | 输出: Point2D-XOY中的坐标(VECTOR2)",,GIS Transition Curve Uncertainty: XOY Coordinates
15,f66bbd1aa46234029f49fcb1ebfe7c08,GIS中缓和曲线的不确定性模型-误差带宽,,4ce1df97-b67d-48aa-b29b-6b168a774562,"输入: thet-法线方向的方位角(REAL), sigmax-i点坐标的标准差(REAL), sigmay-i点坐标的标准差(REAL) | 输出: double-误差带宽(REAL)",,GIS Transition Curve Uncertainty: Error Bandwidth
16,485503998effd471e819bd837446bfcc,GIS支持下坡面太阳辐射的计算公式--目标属性,,fc6bf8af-02f5-4b33-862a-cdaedce03a43,"输入: Qs-水平面直接辐射(REAL), KT-KT(REAL) | 输出: double-参数(REAL)",,Slope Solar Radiation Formula In GIS
17,937dbf9a07201785489526b818c0fea4,GIS支持下森林火场蔓延的空间模拟模型--不受风速与坡度影响的火场蔓延速度,,ef2a09dc-238b-42ea-a7cf-0a8dc111b564,"输入: IR-火焰区反应强度(REAL), zeta-林火蔓延率(REAL), rhob-可燃物的体密度(REAL), epsilon-有效热系数(REAL), Qig-点燃单位质量的可燃物所需热量(REAL) | 输出: double-不受风速与坡度影响的火场蔓延速度(REAL)",,GIS Wildfire Spread Model: Base Rate Of Spread
18,8517448a5fa03b9efe757c24310965d8,GIS支持下森林火场蔓延的空间模拟模型--火场蔓延的最大速度,,25ece61f-dd74-4002-8e34-2151b0907750,"输入: Vbase-不受风速与坡度影响的火场蔓延速度(REAL), phiw-风速对火场蔓延速度的影响(REAL), phis-坡度对火场蔓延速度的影响(REAL) | 输出: double-火场蔓延的最大速度(REAL)",,GIS Wildfire Spread Model: Maximum Rate Of Spread
19,1b2f05734f36629512315f7b1f09389e,GIS支持下森林火场蔓延的空间模拟模型--火场蔓延速度,,01407c8c-c83e-456e-88e7-5703586a1054,"输入: Vbase-不受风速与坡度影响的火场蔓延速度(REAL), Vmax-火场蔓延的最大速度(REAL), thet-方向值(REAL) | 输出: double-火场蔓延速度(REAL)",,GIS Wildfire Spread Model: Rate Of Spread
20,4642e3e581670dd7b355cd9155b5f395,Hurlbert公式,,71224095-5932-42d5-94a8-732f2893e16c,"输入: S-该集群所包含的物种数(INT), N[]-多度，即第j种的个体数(INT_ARRAY), Ns-多度总数(INT) | 输出: Pie-种间相遇几率(REAL)",,Hurlbert Formula
21,a1f250ed240714d0041f955a7590d7dd,INSAR干涉图的相位差的概率密度函数,,efc7e7f9-1552-4feb-9b7a-54a5464651f3,"输入: P-两复数的图像的相关系数(REAL), beta-真实的干涉相位差(REAL), phi1_phi2-单视图的干涉相位差(REAL) | 输出: double-INSAR干涉图的相位差的概率密度(REAL)",,In SAR Interferogram Phase Difference PDF
22,32d5a1bee48c6ba4f0992790a61fa7fc,Indv时间变化图的半经验公式,,54b9dd28-c5c5-44c5-9307-d068f42382f7,"输入: t-在一年中的时间变量(REAL), k-与Indv的渐近值有关的参数(REAL), c-曲线在第一个变形点处的斜率(REAL), d-曲线在第二个变形点处的斜率(REAL), p-这两个点的日期(REAL), q-这两个点的日期(REAL), vb-参数(REAL), ve-参数(REAL) | 输出: Indv-时间变化(REAL)",,Indv Temporal Variation Semi-Empirical Formula
23,05bb488bb5eed5d9fb80ad6ff4198f57,Ivlev选择指数,,17c9fc09-2150-44fe-a91a-4e310873ab13,"输入: ri-在捕食者的食物中被捕食者的相对丰富度(REAL), Pi-生态系统中被捕食者的相对丰富度(REAL) | 输出: Ei-Ivlev选择指数(REAL)",,Ivlev Selectivity Index
24,7a89cc22db0f24779d6d8407592b8088,Iv与蒸腾系数的关系,,5817a4c7-f37a-4d48-a9d1-9c5f5db8e15c,"输入: dn-标准差植被指数(REAL), Isav-土壤校正植被指数(REAL), Itsav-转换土壤校正植被指数(REAL) | 输出: Tc-蒸腾系数(NODE)",,Iv-Transpiration Coefficient Relationship
25,4b7c8a6f08e6b345a69a14c2e87d2157,J.W.Forrester世界动态模型,,96c98a5f-ad3b-4f3d-92ed-f72247472eeb,"输入: A-跃迁矩阵(REAL), x_t1-在时间点t-1内生变量的向量(REAL), E-与外生变量的链接矩阵(REAL), I-单位列向量(REAL) | 输出: Bx_t-参数(REAL)",,J. W. Forrester World Dynamics Model
26,cbf6ffed50ee931a12367ecc1cd64b02,Jaccard指数模型,,5dc166ea-ce7b-40ac-9b07-2db7db82eaab,"输入: a-参数(REAL), b-参数(REAL), c-参数(REAL) | 输出: JI-共同出现百分率(REAL)",,Jaccard Index
27,6c3fd7746a21dcc7ef245f976fe5f41e,Jacobs(1974)的选择指数(E),,d2028d93-b735-493e-b55a-be35674d2a54,"输入: Ui-在植物群落i中喂养观测的动物(INT), Ai-植物群落i占据的研究区域(REAL) | 输出: E-植物群落的利用和可用性之间的相对差异，表明了在每一个植物群落中动物的相对喂养密度(REAL)",,Jacobs (1974) Selectivity Index
28,542c18d638b6743c10be774abe8e4617,Jrenson系数ISS,,b67df0b7-7cb4-44b8-9841-78a13c0bab9b,"输入: a-群落样地A的物种数(REAL), b-群落样地B的物种数(REAL), c-群落样地A与B之间共有的物种数(REAL) | 输出: ISS-Jrenson系数(REAL)",,Jørgensen ISS Coefficient
29,a85325071b5945372626802428e9b2af,Kappa系数,,a2fea141-36d1-4098-811b-a480fe95277e,"输入: Po-观测到的吻合比例(REAL), n-类别的数目(INT) | 输出: double-Kapp系数(REAL)",,Kappa Coefficient
30,7ebb6f0c147aaf0acddf389bbe1a0b32,Kondratyev,,594fc701-1777-47c7-86b3-20e3293d477f,输入: P-地形的坡度(REAL) | 输出: g1-参数(REAL),,Kondratyev Parameterization
31,87b548b3ed505d8f56aff3fd3fcdd5f3,Kriging插值模型,,67eb7ac2-95a6-40ca-810b-9f79916bcdf3,"输入:  lamb-给予每个样本值的权重(REAL_ARRAY),  Z-在相应位置的样本值(REAL_ARRAY), n-样本数(INT) | 输出: Z1-在位置X0需要估计的值(REAL)",,Kriging Interpolation Model
32,ff3db088aec07d0fce311633ed7fcb69,Kuroiwa的GPP公式,,b2ac1ced-de97-46cf-b95b-8e974345d95b,"输入: D-白天长度(REAL), pmax-单个叶片光线饱和时的光合作用率(REAL), K-光线衰减系数(REAL), G-生长期(REAL), k_-吸收的CO2合成干物质时的转换常数(REAL), b-光合作用的量子产额(REAL), Imax-中午最大日照强度(REAL), Ila-叶面积指数(REAL) | 输出: double-Kuroiwa的GPP(REAL)",,Kuroiwa GPP Formula
33,ad7fad51fdbfadfc0972fde33424b8d4,K个物种均衡时物种数量,,1c796d37-9e9d-4fb8-943e-e9833174980f,"输入: n-物种总个数(INT), k-均衡物种个数(INT) | 输出: Enk-K个物种均衡时物种数量(REAL)",,Species Richness Under K-Species Equilibrium
34,0bbd2246b67d8b00b715e371773ab79d,K个物种局部均衡时物种数量,,776a0763-75e6-46e1-9ed2-0a3742e95dd9,"输入: n-物种总个数(INT), k-均衡物种个数(INT), Pk-k个物种均衡的概率(REAL) | 输出: Snk-K个物种局部均衡时物种数量(REAL)",,Species Richness Under Partial K-Species Equilibrium
35,462334d1507466798d0ea2b401fc2988,LE从参考地点的外推,,91e8a183-a1f8-4e19-b974-b2fc0c97ce3d,"输入: LEr-LE参考地点的局部气象值(REAL), c-表示-G/Rn的值(REAL), as-表面漫反射系数(REAL), cr-表示-G/Rn的值参考地点的局部气象值(REAL), asr-表面漫反射系数参考地点的局部气象值(REAL), Rsr-参考地点的局部气象值Rs(REAL), sig-Stefan-Boltzmann常数(REAL), esr-表面发射率参考地点的局部气象值(REAL), Ts-表面温度(REAL), Tsr-表面温度参考地点的局部气象值(REAL), Pcp-大气的体积热容量(REAL), Rahr-阻力参考地点的局部气象值(REAL), ear-大气的发射率参考地点的局部气象值(REAL), Tar-屏幕高度的大气温度参考地点的局部气象值(REAL) | 输出: double-LE从参考地点的外推(REAL)",,Latent Heat Flux Extrapolation From Reference Site
36,c9d25c4f150ea330f3e3b24604801809,Lambert-Beer消光定律,,643810ec-5a8c-47b6-b267-f747f826e6bc,"输入: Ic-林冠入射的辐射通量(REAL), K-群落或各层植物的消光系数(REAL), Ila-叶面积指数(REAL) | 输出: double-距离林冠之下各层入射的辐射通量(REAL)",,Lambert-Beer Extinction Law
37,eb9419960770da807702f24d615ad201,Lloyd拥挤性指数,,11ecc554-74c6-415e-9ea2-d9e6c471218b,"输入: V-每个样方中的平均数变化(REAL), u-每个样方中个体的平均数(REAL) | 输出: double-Lloyd拥挤性指数(REAL)",,Lloyd Crowding Index
38,f9be75e2fecf7621681a71bfa7fdd191,Logistic方程模型,,4ff8a1d0-1e13-44a4-9d32-4966b7ef9477,"输入: K-为可能到达的最大植株高度(REAL_ARRAY), e-参数(REAL), A-为回归系数(REAL_ARRAY), B-为回归系数(REAL_ARRAY), T-为大于等于10度得体温(REAL), i-为禾草种群(INT) | 输出: H-为植株高度(REAL)",,Logistic Equation Model
39,040f24f9b65e2bc1726c50d0e672ce82,LotkaVolterra竞争模型1,,2cd0f639-6e6a-4c8c-8165-2e5122e9a447,"输入: Nsn-共培养中栅藻在时间tn时的数量(REAL), Nsn_1-共培养中栅藻在时间tn-1时的数量(REAL), Nmn_1-共培养中微囊藻在时间tn-1时的数量(REAL), tn-时间tn(REAL), tn_1-时间tn-1(REAL), Ks-栅藻的最大环境容量(REAL), alpha-共培养中微囊藻对栅藻竞争抑制参数(REAL) | 输出: rs-栅藻的增长率(REAL)",,Lotka-Volterra Competition Model 1
40,461af4cfaa70435e54cb30e864ea19eb,Lsws和Lswd综合影响的axy模型,,945d52fa-5c19-4023-9524-0399f5502e50,"输入: Lsws-经过大气衰减的来自被观测地物的辐射(REAL), L0ws-被大气直接反射的程辐射(REAL), Ldws-来自背景地物的交叉辐射(REAL), miu0f0-大气上界的太阳辐射通量(REAL), miu0-太阳方向天顶角的余弦(REAL), mius-传感器方向天顶角的余弦(REAL), t1-相关参数(REAL) | 输出: double-大气交叉辐射影响(REAL)",,Atmospheric Adjacency Effect Model (axy)
41,2926745e892a5db8b3f64acd9a801717,L波段土壤发射率与土壤水分含量的关系模型,,0c2c1667-151e-4eba-87db-842c835dbab3,输入: E-L波段土壤发射率(REAL) | 输出: double-土壤表2cm内的体积水分含量(REAL),,L-Band Soil Emissivity-Moisture Model
42,b4a50149fbef3ceb0d9f911e30103bca,MAP估计方法模型,,683f74c9-8a3d-451d-ace1-9dd64d21443d,"输入: C-常数(REAL), sumP-转移概率和(REAL), Sigma-参数(REAL), gij-特征指标(REAL), r1-灰度值(REAL), r2-r2灰度值(REAL) | 输出: LnP-方法值(REAL)",,MAP Estimation Method
